Company,Job Title,Description
Amazon,Seasonal Retail Associate - Burlingame Ave,"About the job
Description
The pay rate for this role is $17.25 per hour
About Us

Join the Amazon Stores team that launched Amazon Books and Amazon 4-star. Our stores provide a unique, physical extension of Amazon.com through a highly curated assortment of unique in-store shopping experience where customers can discover the next product they’ll love and interact with our knowledgeable and engaging associates. If you want to join a fast-paced, innovative team that is making history and breaking new ground for Amazon, this is the place for you.



As a Retail Associate, you will be the face of Amazon and contribute to a vibrant store culture based on customer obsession, trust, respect, integrity, continuous learning, and fun. You adhere to and maintain regular and punctual attendance, safety and quality standards and follow standard processes while identifying opportunities for improvement. You are flexible while working in an ambiguous environment with strong attention to detail, possess the ability to quickly prioritize tasks, collaborate, multi-task, have a willingness and enjoy learning new things, with a commitment to delighting our customers.



Candidates must be at least 18 years of age. Amazon does not sponsor for immigration, including for H-1B, TN, and other non-immigrant visas, for this role.









- Amazon Retail LLC

Job ID: AOL1150"
Amazon,"Amazon Fresh Store Associate - Fullerton, CA","About the job
Description

Pay starts at $15.00 per hour with benefits available.

About Us

Join the Amazon Fresh team in Fullerton. Amazon Fresh is a new grocery store designed from the ground up to offer a

seamless grocery shopping experience, whether customers are shopping in store or online.

Learn more about Amazon Fresh: amazon.com/freshstores



As an Associate, will contribute to a team culture based on customer obsession, trust, respect, integrity, continuous learning, and fun. You enjoy learning new things and are committed to delighting our customers. You have a strong attention to detail and follow standard processes while identifying opportunities for improvement. You are flexible while working in a dynamic environment, prioritizing tasks as needed. You adhere to and maintain regular and punctual attendance, safety, and quality standards.

We offer Associate opportunities in two main areas of our grocery store, Grocery and Food Services. As a Grocery Associate, you will be the face of Amazon and will contribute to a vibrant store team. As a Food Service Associate, you will contribute to a vibrant kitchen team.

As you complete your application for this job, you will be able to select your preferences for the area(s) of our grocery store you are interested in for employment.



For any of our Associate positions:















- Amazon Retail LLC

Job ID: AOL705"
Amazon,"Amazon Go Retail Associate - Seattle, WA","About the job
Description

Who are we?

Amazon Go is a new kind of store with no checkout required. We created the world’s most advanced shopping technology so you never have to wait in line. With our Just Walk Out Shopping experience, simply use the Amazon Go app to enter the store, take the products you want, and go! No lines, no checkout. (No, seriously.)

At Amazon Go we offer a curated selection of delicious ready-to-eat breakfast, lunch, dinner, and snack options made by our chefs and favorite local kitchens and bakeries. Our selection of grocery essentials ranges from staples like bread and milk to artisan cheeses and locally made chocolates.



As a Retail Associate, you will be the face of Amazon and contribute to a vibrant store culture based on customer obsession, trust, respect, integrity, continuous learning, and fun. You adhere to and maintain regular and punctual attendance, safety and quality standards and follow standard processes while identifying opportunities for improvement. You are flexible while working in an ambiguous environment with strong attention to detail, possess the ability to quickly prioritize tasks, multi-task, have a willingness and enjoy to learn new things, and a commitment to delighting our customers.








To learn more about Amazon Go, check us out at amazon.com/go.




- Amazon Retail LLC

Job ID: AOL2606"
Amazon,Amazon Fresh Store Associate Overnights-North Hollywood,"About the job
Description

Pay starts at $15.00 per hour with benefits available.

About Us

Join the Amazon Fresh team in North Hollywood. Amazon Fresh is a new grocery store designed from the ground up to offer a

seamless grocery shopping experience, whether customers are shopping in store or online.

Learn more about Amazon Fresh: amazon.com/freshstores



As an Associate, will contribute to a team culture based on customer obsession, trust, respect, integrity, continuous learning, and fun. You enjoy learning new things and are committed to delighting our customers. You have a strong attention to detail and follow standard processes while identifying opportunities for improvement. You are flexible while working in a dynamic environment, prioritizing tasks as needed. You adhere to and maintain regular and punctual attendance, safety, and quality standards.

We offer Associate opportunities in two main areas of our grocery store, Grocery and Food Services. As a Grocery Associate, you will be the face of Amazon and will contribute to a vibrant store team. As a Food Service Associate, you will contribute to a vibrant kitchen team.

As you complete your application for this job, you will be able to select your preferences for the area(s) of our grocery store you are interested in for employment.



For any of our Associate positions:















- Amazon Retail LLC

Job ID: AOL581"
Amazon,"Amazon Go Lead Retail Associate- San Francisco, CA (Part-Time)","About the job
Description

Pay starts at $20.15 per hour with benefits available

Who are we?

Amazon Go is a new kind of store with no checkout required. We created the world’s most advanced shopping technology so you never have to wait in line. With our Just Walk Out Shopping experience, simply use the Amazon Go app to enter the store, take the products you want, and go! No lines, no checkout. (No, seriously.)

At Amazon Go we offer a curated selection of delicious ready-to-eat breakfast, lunch, dinner, and snack options made by our chefs and favorite local kitchens and bakeries. Our selection of grocery essentials ranges from staples like bread and milk to artisan cheeses and locally made chocolates.



As a Lead Associate, you will be the face of Amazon and contribute to a vibrant store culture based on customer obsession, trust, respect, integrity, continuous learning, and fun. You possess strong attention to detail, the ability to quickly prioritize tasks, willingness to learn new things, and a commitment to delighting our customers. You will assist the manager with store operations, maintain a key to the store and have floor leader responsibilities.



Candidates must be at least 18 years of age. Amazon does not sponsor for immigration, including for H-1B, TN, and other non-immigrant visas, for this role.






To learn more about Amazon Go, check us out at amazon.com/go.






- Amazon Retail LLC

Job ID: AOL2668"
Allied Universal,Amazon Security Guard,"About the job
Allied Universal®, North America’s leading security and facility services company, provides rewarding careers that give you a sense of purpose. While working in a dynamic, diverse and inclusive workplace, you will be part of a team that fuels a culture that will reflect in our communities and customers we serve. We offer medical, dental and vision coverage, life insurance, 401K, employee assistance programs, company discounts, perks and more for all full-time positions!















As a Security Guard, you will serve and safeguard clients in a range of industries such as Commercial Real Estate, Healthcare, Education, Government and more.







All qualified applicants will receive consideration for employment without regard to race/ethnicity, age, color, religion, sex, sexual orientation, gender identity, national origin, genetic information, disability, protected veteran status or relationship/association with a protected veteran, or any other basis or characteristic protected by law. For more information www.aus.com

If you have any questions regarding Equal Employment Opportunity, Affirmative Action, Diversity and Inclusion, have difficulty using the online system and require an alternate method to apply, or require an accommodation at any time during the recruitment and/or employment process, please contact our local Human Resources department. To find an office near you, please visit www.aus.com/offices.

2022-833803"
Amazon,"ASL Interpreter, SL:US","About the job
Job Summary

DESCRIPTION

At Amazon we believe that every day is still day one. We are working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. If you’d like to help the Disability Leave Services (DLS) team build a best-in-class professional services program to deliver leave of absence, disability and accommodation services to Amazon employees, applicants, job seekers and candidates globally, this is your chance to make history by joining our team. DLS Provides services 7 days a week, 24 hours a day to assist employees as they go through qualifying life events.

Role Description

The ASL Interpreter is a key member of our accommodation team, providing ASL interpreting services to Amazon applicants, candidates and employees who are Deaf or Hard of Hearing. The Interpreter is a subject matter expert (SME) in ASL interpretation services and will provide consultation and collaborate across teams to solve complex problems in ASL language accommodations.

Successful interpreters are highly skilled, able to respond to changing circumstances and needs of a dynamic culture, and paves the way for a connected and trusted accommodation experience. Interpretation in this role may also involve periods of standing, and walking in a fast-paced environment with possible varied noise levels.

An Interpreter can be assigned to work primarily with a single employee for all or part of their work days, permanently or temporarily and/or the interpreter could be assigned to rotate through a large group of Deaf Employees at one or more locations.

The interpreter assignments may include (but are not limited to):

Key job responsibilities






Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.


- Amazon.com Services LLC

Job ID: A2122178"
Amazon,"Full-time Food Services Associate - Bellevue/Factoria, WA - $1,500 Sign-on Bonus","About the job
About Us

DESCRIPTION

Join the Amazon Fresh team in Bellevue. Amazon Fresh is a new grocery store designed from the ground up to offer a seamless grocery shopping experience, whether customers are shopping in store or online.

Learn more about Amazon Fresh: amazon.com/freshstores



As an Associate, will contribute to a team culture based on customer obsession, trust, respect, integrity, continuous learning, and fun. You enjoy learning new things and are committed to delighting our customers. You have a strong attention to detail and follow standard processes while identifying opportunities for improvement. You are flexible while working in a dynamic environment, prioritizing tasks as needed. You adhere to and maintain regular and punctual attendance, safety, and quality standards.

We offer Associate opportunities in two main areas of our grocery store, Grocery and Food Services. As a Grocery Associate, you will be the face of Amazon and will contribute to a vibrant store team. As a Food Service Associate, you will contribute to a vibrant kitchen team.

Pay starts at $15.75 per hour with benefits available.

As you complete your application for this job, you will be able to select your preferences for the area(s) of our grocery store you are interested in for employment.



For any of our Associate positions:















- Amazon Retail LLC

Job ID: AOL328"
Amazon,"SDEII - Amazon Scout, Perception - Amazon Scout","About the job
Job Summary

DESCRIPTION

Are you inspired by building new technologies to benefit customers? Do you dream of being at the forefront of robotics and autonomous system technology? Would you enjoy working in a fast paced, highly collaborative, start-up like environment? If you answered yes to any of these then you've got to check out the Amazon Scout team.

We’ve been hard at work developing a new, fully-electric delivery system – Amazon Scout – designed to get packages to customers using autonomous delivery devices. These devices were created by Amazon, are the size of a small cooler, and roll along sidewalks at a walking pace. We developed Amazon Scout at our research and development lab in Seattle, ensuring the devices can safely and efficiently navigate around pets, pedestrians and anything else in their path.

The Amazon Scout team shares a passion for innovation using advanced technologies, a love of solving complex challenges, and a desire to impact customers in a meaningful way. We're looking for individuals who like dealing with ambiguity, solving hard, large scale problems, and working in a startup like environment. To learn more about Amazon Scout, check out our Amazon Day One Blog post http://amazon.com/scout

As a Senior Software Development Engineer specializing in computer vision and machine learning, you have the chance to help develop cutting-edge technology that will have a positive impact on customers.


You are a person with a commitment to team work, who enjoys working on complex systems, is customer centric, and thrives on the challenge of prototyping new systems that will eventually operate at Amazon scale.

This position is fully remote!






Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us We believe passionately that employing a diverse workforce is central to our success and we make recruiting decisions based on your experience and skills. We welcome applications from all members of society irrespective of age, gender, disability, sexual orientation, race, religion or belief.

The pay range for this position in Colorado is $123,300- 160,000 per year; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.


- Amazon.com Services LLC

Job ID: A2096717"
Amazon,"Amazon Fresh Store Associate - Naperville, IL - Up to $3,000 Sign-on Bonus","About the job
Description

Pay starts at $15.00 per hour with benefits available.

About Us

Join the Amazon Fresh team in Naperville. Amazon Fresh is a new grocery store designed from the ground up to offer a

seamless grocery shopping experience, whether customers are shopping in store or online.

Learn more about Amazon Fresh: amazon.com/freshstores



As an Associate, will contribute to a team culture based on customer obsession, trust, respect, integrity, continuous learning, and fun. You enjoy learning new things and are committed to delighting our customers. You have a strong attention to detail and follow standard processes while identifying opportunities for improvement. You are flexible while working in a dynamic environment, prioritizing tasks as needed. You adhere to and maintain regular and punctual attendance, safety, and quality standards.

We offer Associate opportunities in two main areas of our grocery store, Grocery and Food Services. As a Grocery Associate, you will be the face of Amazon and will contribute to a vibrant store team. As a Food Service Associate, you will contribute to a vibrant kitchen team.

As you complete your application for this job, you will be able to select your preferences for the area(s) of our grocery store you are interested in for employment.



For any of our Associate positions:















- Amazon Retail LLC

Job ID: AOL1093"
