Company,Job Title,Description
Amazon,"System Development Engineer, Ad Tech Engineering","B.S. or M.S. degree in Computer Science, Engineering, Mathematics, or a related field, or 5+ years relevant work experience 5+ years of recent Linux systems/production engineering, SRE, DevOps, or Solutions Architecture experience designing, analyzing, automating, monitoring, and troubleshooting large-scale distributed systems, including web and application servers, caching, DNS, monitoring, load-balancing, TCP/IP, HTTP 5+ years experience building tooling, automation and scripting in languages such as Python, Ruby and Bash Experience with IaaS and Configuration Management (e.g. Cloudformation, CDK), as well as DevOps-adjacent frameworks such as the SDLC, git, code pipelines and build/deployment automation Experience building with AWS Services such as S3, EC2, DynamoDB, Kinesis. AWS Certification (Solutions Architect, Devops, Developer, SysOps) 2+ years of software/systems development experience (Java a plus) 2+ years performance engineering experience, e.g. GC tuning, comparative load testing Ability to lead and advise software and infrastructure teams through design and implementation across the organization. Company"
Conway Medical Center,Network Engineer,"Position Summary: The IS Network Engineer (ISNE) is responsible for implementing, administering, and troubleshooting of the hospital network infrastructure. In this capacity, the INE will be responsible for administration and troubleshooting of Citrix Netscaler and Cisco products to include program routers, switches and other network hardware. Additional duties include managing, monitoring, and administering datacenter systems, configure DNS Servers, schedule updates/upgrades and assisting with security strategies for the organization. The ISNE will work with the CMC-IS leadership team to ensure all work is approved, understood, communicated, and executed in a professional manner. He/she will work to ensure that the delivery of services meets or exceeds user needs, and is in line with Hospital and IS Policy, and is delivered in a timely manner. The ISNE must be able to understand and communicate technical terminology to a varied audience in laymen’s terms. Qualifications Education: OR AND Experience: Experience with Cisco and Citrix Netscaler network devices Experience with various network types including LANs, WANs, WLANs, SANs, and VoIP networks Solid understanding of Windows Server environments and networking Prior experience as a database architect and/or software developer in the health care arena preferred Licensure/Certification/Registration: Certifications preferred: Cisco Certified Network Associate (CCNA), Cisco Certified Network Professional (CCNP), Microsoft Certified Solutions Expert (MCSE), Microsoft Certified Solutions Associate (MCSA), CompTIA Network+ Special Skills: Ability to work effectively and collaboratively with nursing colleagues, physicians, department heads, and members of executive leadership required. Demonstrated proficiency with Microsoft Outlook, Word, Excel, Explorer and PowerPoint required. Demonstrated proficiency with implementing, administering, and troubleshooting of hospital network infrastructures Exemplary core customer service skills strongly required. Strong organizational skills required. Strong verbal and written communication skills required. Knowledge of program development and administration preferred. Working Conditions: Stress level high due to multiple demands frequently occurring simultaneously. Physical surroundings generally pleasant and comfortable. Generally contained office type environment. Prolonged standing and walking."
Randstad USA,SCADA Network Engineer,"Experience implementing networking solutions in industrial and automation environments Experience with networking solutions including routing and switching protocols Set up and maintain computer and controller networks using Ethernet, Modbus, Profibus, Device Net, HART and Control Net Experience with implementing and maintaining Network Monitoring and Anomaly Detection systems Able to troubleshoot multiple brands of radio, cellular, satellite and web-based telemetry systems as part of an Industrial network Experienced implementing and maintaining OT Cybersecurity Coordinate and participate in the design, development and administration of standards and documentation for industrial networks Enforce adherence to corporate networking and cybersecurity standards Experience level: Experienced Minimum 5 years of experience"
Allegis Group,Network Engineer,"Bachelor’s degree or equivalent working experience in the field 5+ years’ experience in managing enterprise computer networks 3+ years’ experience in network architecture and deployment Healthcare IT experience preferred Must possess extensive knowledge of various applications, including switching, routing, spam filtering, web servers, server clustering, VPN, LAN, WAN, internets, intranets, and more Self-starter able to work independently but comfortable working in a team environment Demonstrated knowledge and understanding of Enterprise Core Network Infrastructure Ability to create accurate network diagrams and documentation for design and planning Experience leading and participating in technology-oriented initiatives and projects Ability to think through problems and visualize solutions Proficient in Microsoft Excel, Word and Office Under the supervision of the Director of Technical Services, the Sr. Network Engineer is responsible for safeguarding network and data security. Interacts with management, technical and program staff as well as functional users and 3rd party vendors to manage the day-to-day scheduled and unscheduled computer operations and maintenance activities. Engages in continuous learning and stays well informed of existing and emerging products, solutions, and technologies. Seeks to maintain stable, efficient and effective availability and operations of our client's data. Member of the on-call team. These threshold requirements are required and completed yearly basis Annual Joint Commission mandatory education requirements, in-service and health requirements including attendance at new employee orientation TB/PPD Surveillance Program"
Dice,Junior Network Engineer,"In this role, the Junior Network Engineer will be working within the Data Center troubleshooting Some User Support Cable tracing/clean-up The Junior Network Engineer will be helping endpoint networking CCNA Level Cisco Routing/Switching experience Palo Alto Firewall experience Riverbed WAN Documentation Automation experience (Python preferred) Ansible knowledge Utilize ServiceNow"
Cisco,Network Engineer (Intern) United States,"Including but not limited to an upcoming graduate of a technical degree or certification program from a Technical Boot Camp, Apprenticeship, Community College or 4-Year University. Recent graduate or on your final year of studies toward an Associate's, Bachelor's or Master's degree in a technical field, such as Networking, Computer Science, Information Technology, Electrical/Computer Engineering or a similar field. Fluent in English (verbal and written) Passionate about networking, information technology or computer science Knowledge of adjacent technologies, holding Cisco Certifications (e.g., CCNA, CCNP) or industry recognized certifications is a plus Strong analytical and problem solving skills with ability to solve technical problems Ability to multi-task, self-start, work in a dynamic team environment and work independently"
Tuesday Morning,Part Time Store Associate (501 SE Washington Blvd - Store 1202),"Deliver prompt and friendly service to Tuesday Morning guests; handle customer concerns professionally and respectfully Manage freight to sales floor process Process all sales in the Point of Sale System and handle monetary transactions accurately and effectively Team oriented, positive, upbeat and friendly with the ability to maintain composure under pressure and resolve guest concerns Excellent verbal and written communication skills with the ability to multi-task, and prioritize Ability to work independently with minimum direction and periodic supervision Capable of regularly lifting 50+ lbs with frequent kneeling, bending and stooping Some of the best hours in retail 401K 20% Associate discount"
Apple,Xcode Build System Engineer,
JPMorgan Chase & Co.,Part time Associate Banker S Tarrant Community SE (30 Hours),"Engage clients as they enter the branch by welcoming them and making them feel appreciated, including managing lobby traffic, checking clients into the waiting queue and scheduling/canceling client meetings. Help clients with everyday transactions such as reordering a debit card, setting up a direct deposit or helping update their address while maintaining established control standards. Ensure financial transactions are completed accurately and efficiently while complying with all policies, procedures and regulatory and banking requirements. Educate clients on the usage of technology self-service options such as leveraging the Chase Mobile App, Chase.com, and ATMs to complete their banking needs, whenever, wherever and however they want. Assist clients and the branch team by helping with new account openings when needed. Minimum 6 months of customer service experience (e.g. Retail, Sales, Financial Services). Has prior experience in financial services, banking, retail or client facing customer service highly preferred. Demonstrates ability to learn new technologies, products and features, as well as a strong desire to influence, educate and connect customers to technology. Demonstrates ability to make personal connections, engage customers, and remain courteous and professional in a team environment. Exudes confidence with clients when sharing product knowledge and solutions. Has excellent interpersonal communication skills, as well as strong attention to detail and time management. Remains professional, thorough and organized with strong follow-up skills. Possesses active listening skills to ensure the best way forward is identified for each customer."
Dice,Remote Network Engineer,Contact: Consultant Resume Self-Certification Form Exhibit F Resume – resumes must include: a description of all applicable qualifications and experience. evidence of successful completion of all applicable education degree programs and their respective majors any completed certifications at the time of a prospective interview. The resume of the proposed consultant(s) will NOT contain any vendor or company logo or pricing information. Consultant Statement provided by Dice
